Name,Bloomberg,Price,RepoRate,almRate,LCR,RWA,BorrowRate,Tier,IndLoanRate,Currency
CI,CI:US,20,0.09,0.05,0.12,0.03,0.15,1,0.08,USD
CINF,CINF:US,91,0.05,0.15,0.04,0.14,0.1,1,0.1,USD
CL,CL:US,4,0.16,0.13,0.15,0.11,0.12,1,0.07,USD
CLF,CLF:US,87,0.19,0.11,0.2,0.01,0.18,1,0.12,USD
CLX,CLX:US,13,0.12,0.04,0.03,0.04,0.17,1,0.14,USD
CMA,CMA:US,81,0.14,0.02,0.17,0.07,0.08,1,0.2,USD
CMCSA,CMCSA:US,3,0.09,0.03,0.08,0.19,0.16,1,0.07,USD
CME,CME:US,88,0.06,0.12,0.15,0.05,0.04,1,0.07,USD
CMG,CMG:US,99,0.1,0.04,0.03,0.01,0.06,1,0.14,USD
CMI,CMI:US,78,0.17,0.08,0.15,0.01,0.01,1,0.15,USD
CMS,CMS:US,55,0.17,0.05,0.06,0.12,0.01,1,0.01,USD
CNP,CNP:US,79,0.05,0.2,0.11,0.06,0.14,1,0.07,USD
CNX,CNX:US,17,0.06,0.14,0.04,0.2,0.03,1,0.14,USD
COF,COF:US,94,0.08,0.09,0.07,0.08,0.07,1,0.14,USD
COG,COG:US,20,0.03,0.03,0.16,0.15,0.11,1,0.12,USD
COH,COH:US,62,0.17,0.17,0.12,0.05,0.05,1,0.01,USD
COL,COL:US,13,0.15,0.17,0.02,0.07,0.01,1,0.13,USD
COP,COP:US,80,0.02,0.14,0.11,0.13,0.12,1,0.09,USD
COST,COST:US,100,0.12,0.04,0.09,0.19,0.14,1,0.1,USD
COV,COV:US,94,0.13,0.16,0.09,0.18,0.13,1,0.17,USD
CPB,CPB:US,67,0.07,0.18,0.13,0.15,0.1,1,0.05,USD
CRM,CRM:US,84,0.02,0.18,0.13,0.19,0.07,1,0.19,USD
CSC,CSC:US,91,0.13,0.14,0.19,0.05,0.04,1,0.14,USD
CSCO,CSCO:US,51,0.05,0.15,0.06,0.07,0.15,1,0.14,USD
CSX,CSX:US,97,0.13,0.11,0.15,0.04,0.2,1,0.14,USD
CTAS,CTAS:US,21,0.2,0.2,0.19,0.04,0.01,1,0.05,USD
CTL,CTL:US,55,0.18,0.07,0.19,0.05,0.06,1,0.17,USD
CTSH,CTSH:US,53,0.04,0.18,0.13,0.02,0.12,1,0.19,USD
CTXS,CTXS:US,73,0.04,0.08,0.16,0.06,0.04,1,0.14,USD
CVC,CVC:US,25,0.04,0.08,0.14,0.11,0.19,1,0.04,USD
CVH,CVH:US,75,0.1,0.07,0.2,0.03,0.07,1,0.1,USD
CVS,CVS:US,29,0.17,0.06,0.12,0.07,0.11,1,0.13,USD
CVX,CVX:US,89,0.1,0.2,0.13,0.08,0.04,1,0.03,USD
D,D:US,8,0.19,0.09,0.02,0.01,0.12,1,0.05,USD
DD,DD:US,17,0.1,0.18,0.17,0.01,0.14,1,0.05,USD
DE,DE:US,66,0.1,0.05,0.05,0.09,0.04,1,0.06,USD
DELL,DELL:US,58,0.06,0.1,0.18,0.15,0.16,1,0.01,USD
DF,DF:US,86,0.14,0.2,0.03,0.16,0.08,1,0.14,USD
DFS,DFS:US,27,0.12,0.02,0.03,0.03,0.03,1,0.11,USD
DG,DG:US,68,0.11,0.13,0.01,0.05,0.14,1,0.01,USD
DGX,DGX:US,45,0.19,0.09,0.12,0.14,0.07,1,0.08,USD
DHI,DHI:US,84,0.19,0.12,0.07,0.13,0.13,1,0.19,USD
DHR,DHR:US,39,0.11,0.08,0.06,0.01,0.05,1,0.16,USD
DIS,DIS:US,68,0.15,0.08,0.04,0.15,0.1,1,0.12,USD
DISCA,DISCA:US,68,0.18,0.03,0.09,0.19,0.03,1,0.13,USD
DLTR,DLTR:US,48,0.03,0.12,0.07,0.1,0.19,1,0.18,USD
DNB,DNB:US,71,0.17,0.07,0.04,0.19,0.12,1,0.09,USD
DNR,DNR:US,19,0.12,0.02,0.06,0.07,0.08,1,0.1,USD
DO,DO:US,40,0.19,0.01,0.13,0.01,0.08,1,0.2,USD
DOV,DOV:US,52,0.1,0.11,0.04,0.07,0.16,1,0.07,USD
DOW,DOW:US,23,0.13,0.07,0.15,0.07,0.16,1,0.17,USD
DPS,DPS:US,2,0.02,0.04,0.01,0.01,0.03,1,0.1,USD
DRI,DRI:US,29,0.15,0.11,0.19,0.05,0.19,1,0.01,USD
DTE,DTE:US,4,0.02,0.12,0.09,0.07,0.02,1,0.05,USD
DTV,DTV:US,76,0.17,0.19,0.05,0.01,0.15,1,0.04,USD
DUK,DUK:US,30,0.02,0.13,0.19,0.14,0.01,1,0.2,USD
DVA,DVA:US,50,0.09,0.14,0.09,0.02,0.07,1,0.01,USD
DVN,DVN:US,45,0.1,0.14,0.07,0.04,0.01,1,0.04,USD
EA,EA:US,67,0.19,0.11,0.18,0.17,0.05,1,0.06,USD
EBAY,EBAY:US,4,0.11,0.18,0.07,0.14,0.13,1,0.2,USD
ECL,ECL:US,33,0.16,0.17,0.02,0.12,0.03,1,0.06,USD
ED,ED:US,32,0.02,0.11,0.2,0.01,0.19,1,0.09,USD
EFX,EFX:US,41,0.12,0.06,0.13,0.1,0.15,1,0.11,USD
EIX,EIX:US,95,0.11,0.2,0.04,0.17,0.07,1,0.16,USD
EL,EL:US,9,0.14,0.1,0.03,0.13,0.05,1,0.13,USD
EMC,EMC:US,33,0.08,0.11,0.2,0.16,0.04,1,0.07,USD
EMN,EMN:US,56,0.11,0.12,0.17,0.07,0.05,1,0.14,USD
EMR,EMR:US,30,0.14,0.03,0.15,0.06,0.19,1,0.11,USD
EOG,EOG:US,89,0.18,0.13,0.2,0.1,0.05,1,0.03,USD
EQR,EQR:US,52,0.1,0.01,0.01,0.15,0.16,1,0.08,USD
EQT,EQT:US,31,0.03,0.18,0.05,0.02,0.11,1,0.03,USD
ESRX,ESRX:US,15,0.19,0.12,0.13,0.15,0.05,1,0.2,USD
ESV,ESV:US,48,0.04,0.12,0.13,0.2,0.06,1,0.02,USD
ETFC,ETFC:US,74,0.03,0.2,0.08,0.12,0.16,1,0.1,USD
ETN,ETN:US,47,0.19,0.11,0.17,0.04,0.01,1,0.17,USD
ETR,ETR:US,78,0.15,0.16,0.11,0.09,0.2,1,0.15,USD
EW,EW:US,89,0.19,0.16,0.2,0.1,0.05,1,0.04,USD
EXC,EXC:US,4,0.15,0.16,0.08,0.07,0.18,1,0.1,USD
EXPD,EXPD:US,84,0.2,0.1,0.17,0.03,0.08,1,0.05,USD
EXPE,EXPE:US,71,0.07,0.2,0.01,0.19,0.18,1,0.03,USD
F,F:US,25,0.13,0.18,0.01,0.09,0.07,1,0.19,USD
FAST,FAST:US,7,0.04,0.09,0.2,0.2,0.19,1,0.14,USD
FCX,FCX:US,34,0.16,0.02,0.03,0.03,0.13,1,0.12,USD
FDO,FDO:US,65,0.05,0.1,0.13,0.01,0.05,1,0.01,USD
FDX,FDX:US,6,0.04,0.17,0.05,0.03,0.03,1,0.03,USD
FE,FE:US,48,0.11,0.05,0.1,0.16,0.07,1,0.2,USD
FFIV,FFIV:US,55,0.05,0.2,0.13,0.12,0.14,1,0.1,USD
FHN,FHN:US,57,0.18,0.11,0.04,0.11,0.04,1,0.18,USD
FII,FII:US,20,0.13,0.04,0.11,0.01,0.1,1,0.15,USD
FIS,FIS:US,39,0.05,0.19,0.04,0.18,0.1,1,0.14,USD
FISV,FISV:US,50,0.16,0.11,0.11,0.08,0.17,1,0.06,USD
FITB,FITB:US,5,0.08,0.13,0.17,0.07,0.15,1,0.18,USD
FLIR,FLIR:US,6,0.19,0.05,0.18,0.19,0.14,1,0.09,USD
FLR,FLR:US,40,0.03,0.08,0.08,0.09,0.15,1,0.06,USD
FLS,FLS:US,71,0.07,0.1,0.16,0.13,0.11,1,0.2,USD
FMC,FMC:US,25,0.14,0.1,0.12,0.04,0.08,1,0.08,USD
FOSL,FOSL:US,3,0.07,0.08,0.16,0.14,0.18,1,0.13,USD
FRX,FRX:US,42,0.12,0.2,0.07,0.14,0.03,1,0.19,USD
FSLR,FSLR:US,18,0.05,0.05,0.2,0.09,0.08,1,0.04,USD
FTI,FTI:US,15,0.02,0.1,0.1,0.02,0.16,1,0.16,USD
FTR,FTR:US,52,0.05,0.1,0.07,0.07,0.02,1,0.19,USD
GAS,GAS:US,11,0.03,0.18,0.08,0.11,0.02,1,0.02,USD
GCI,GCI:US,86,0.09,0.16,0.1,0.15,0.09,1,0.2,USD
GD,GD:US,57,0.09,0.16,0.04,0.01,0.06,1,0.01,USD
GE,GE:US,23,0.13,0.16,0.02,0.04,0.05,1,0.02,USD
GILD,GILD:US,38,0.13,0.07,0.11,0.13,0.16,1,0.09,USD
GIS,GIS:US,71,0.11,0.14,0.16,0.05,0.14,1,0.14,USD
GLW,GLW:US,26,0.1,0.17,0.14,0.17,0.01,1,0.1,USD
GME,GME:US,62,0.09,0.19,0.04,0.04,0.08,1,0.16,USD
GNW,GNW:US,18,0.05,0.06,0.15,0.08,0.09,1,0.01,USD
GOOG,GOOG:US,28,0.01,0.15,0.14,0.08,0.07,1,0.05,USD
GPC,GPC:US,56,0.13,0.14,0.15,0.09,0.14,1,0.14,USD
GPS,GPS:US,96,0.17,0.17,0.13,0.08,0.19,1,0.14,USD
GS,GS:US,57,0.14,0.09,0.2,0.18,0.11,1,0.2,USD
GT,GT:US,43,0.17,0.02,0.18,0.05,0.15,1,0.08,USD
GWW,GWW:US,17,0.19,0.2,0.16,0.15,0.11,1,0.04,USD
HAL,HAL:US,31,0.01,0.18,0.17,0.17,0.15,1,0.05,USD
HAR,HAR:US,9,0.13,0.19,0.15,0.14,0.09,1,0.12,USD
HAS,HAS:US,56,0.03,0.14,0.2,0.08,0.07,1,0.02,USD
HBAN,HBAN:US,67,0.03,0.16,0.15,0.08,0.19,1,0.06,USD
HCBK,HCBK:US,37,0.05,0.02,0.16,0.06,0.07,1,0.12,USD
HCN,HCN:US,67,0.01,0.06,0.04,0.07,0.14,1,0.13,USD
HCP,HCP:US,83,0.01,0.11,0.08,0.11,0.2,1,0.08,USD
HD,HD:US,76,0.06,0.05,0.1,0.16,0.12,1,0.08,USD
HES,HES:US,88,0.13,0.03,0.15,0.16,0.12,1,0.11,USD
HIG,HIG:US,30,0.1,0.03,0.12,0.03,0.07,1,0.13,USD
HNZ,HNZ:US,11,0.13,0.17,0.11,0.15,0.14,1,0.16,USD
HOG,HOG:US,55,0.14,0.03,0.19,0.18,0.17,1,0.11,USD
HON,HON:US,27,0.14,0.17,0.14,0.14,0.12,1,0.15,USD
HOT,HOT:US,11,0.15,0.18,0.14,0.15,0.09,1,0.05,USD
HP,HP:US,83,0.01,0.05,0.01,0.04,0.2,1,0.11,USD
HPQ,HPQ:US,25,0.2,0.12,0.16,0.12,0.1,1,0.1,USD
HRB,HRB:US,15,0.05,0.15,0.1,0.16,0.1,1,0.01,USD
HRL,HRL:US,33,0.08,0.07,0.01,0.08,0.14,1,0.05,USD
HRS,HRS:US,50,0.15,0.2,0.05,0.06,0.12,1,0.19,USD
HSP,HSP:US,69,0.06,0.06,0.03,0.01,0.07,1,0.05,USD
HST,HST:US,16,0.01,0.19,0.2,0.16,0.19,1,0.13,USD
HSY,HSY:US,39,0.03,0.16,0.01,0.12,0.09,1,0.15,USD
HUM,HUM:US,67,0.14,0.18,0.15,0.01,0.18,1,0.11,USD
IBM,IBM:US,22,0.16,0.04,0.06,0.02,0.18,1,0.03,USD
ICE,ICE:US,54,0.07,0.18,0.07,0.16,0.12,1,0.15,USD
IFF,IFF:US,93,0.01,0.09,0.01,0.08,0.07,1,0.08,USD
IGT,IGT:US,59,0.02,0.02,0.09,0.16,0.19,1,0.15,USD
INTC,INTC:US,6,0.04,0.02,0.17,0.17,0.18,1,0.01,USD
INTU,INTU:US,63,0.07,0.14,0.06,0.2,0.03,1,0.09,USD
IP,IP:US,53,0.07,0.18,0.12,0.03,0.09,1,0.01,USD
IPG,IPG:US,85,0.2,0.16,0.15,0.04,0.01,1,0.05,USD
IR,IR:US,38,0.15,0.14,0.2,0.2,0.05,1,0.09,USD
IRM,IRM:US,95,0.2,0.08,0.15,0.1,0.14,1,0.16,USD
ISRG,ISRG:US,54,0.08,0.08,0.19,0.07,0.07,1,0.13,USD
ITW,ITW:US,51,0.2,0.12,0.1,0.02,0.13,1,0.02,USD
IVZ,IVZ:US,13,0.09,0.02,0.07,0.02,0.06,1,0.07,USD
JBL,JBL:US,26,0.2,0.19,0.17,0.18,0.06,1,0.09,USD
JCI,JCI:US,27,0.15,0.03,0.14,0.19,0.03,1,0.16,USD
JCP,JCP:US,50,0.15,0.11,0.16,0.15,0.04,1,0.13,USD
JDSU,JDSU:US,78,0.17,0.15,0.08,0.18,0.02,1,0.19,USD
JEC,JEC:US,88,0.08,0.02,0.04,0.2,0.19,1,0.15,USD
JNJ,JNJ:US,3,0.16,0.06,0.11,0.04,0.17,1,0.03,USD
JNPR,JNPR:US,28,0.13,0.02,0.09,0.1,0.03,1,0.18,USD
JOY,JOY:US,43,0.02,0.01,0.19,0.2,0.06,1,0.06,USD
JPM,JPM:US,16,0.19,0.05,0.02,0.06,0.12,1,0.17,USD
JWN,JWN:US,38,0.11,0.12,0.01,0.09,0.08,1,0.01,USD
K,K:US,3,0.01,0.18,0.02,0.2,0.04,1,0.2,USD
KEY,KEY:US,8,0.17,0.14,0.2,0.17,0.01,1,0.15,USD
KIM,KIM:US,93,0.13,0.13,0.12,0.19,0.17,1,0.2,USD
KLAC,KLAC:US,63,0.2,0.01,0.19,0.01,0.16,1,0.07,USD
KMB,KMB:US,95,0.13,0.01,0.15,0.06,0.04,1,0.13,USD
KMI,KMI:US,36,0.1,0.08,0.18,0.1,0.12,1,0.04,USD
KMX,KMX:US,26,0.06,0.16,0.09,0.04,0.05,1,0.1,USD
KO,KO:US,52,0.02,0.18,0.18,0.01,0.17,1,0.01,USD
KR,KR:US,33,0.03,0.09,0.17,0.02,0.1,1,0.16,USD
KRFT,KRFT:US,69,0.11,0.05,0.04,0.05,0.13,1,0.07,USD
KSS,KSS:US,76,0.14,0.05,0.09,0.19,0.14,1,0.02,USD
L,L:US,56,0.11,0.05,0.02,0.14,0.03,1,0.17,USD
LEG,LEG:US,19,0.01,0.15,0.18,0.08,0.01,1,0.06,USD
LEN,LEN:US,50,0.2,0.09,0.06,0.07,0.01,1,0.07,USD
LH,LH:US,2,0.12,0.1,0.08,0.14,0.17,1,0.15,USD
LIFE,LIFE:US,61,0.11,0.02,0.16,0.19,0.17,1,0.01,USD
LLL,LLL:US,80,0.12,0.07,0.01,0.16,0.15,1,0.12,USD
LLTC,LLTC:US,12,0.13,0.14,0.19,0.01,0.17,1,0.01,USD
LLY,LLY:US,70,0.16,0.09,0.01,0.12,0.05,1,0.03,USD
LM,LM:US,74,0.19,0.12,0.12,0.1,0.16,1,0.11,USD
LMT,LMT:US,10,0.17,0.04,0.05,0.12,0.15,1,0.07,USD
LNC,LNC:US,39,0.05,0.12,0.12,0.16,0.08,1,0.01,USD
LO,LO:US,24,0.15,0.13,0.03,0.13,0.16,1,0.16,USD
LOW,LOW:US,70,0.12,0.15,0.15,0.12,0.12,1,0.07,USD
LRCX,LRCX:US,61,0.1,0.2,0.14,0.17,0.04,1,0.09,USD
LSI,LSI:US,26,0.07,0.18,0.1,0.03,0.19,1,0.03,USD
LTD,LTD:US,30,0.17,0.03,0.16,0.2,0.17,1,0.17,USD
LUK,LUK:US,61,0.12,0.16,0.04,0.12,0.1,1,0.17,USD
LUV,LUV:US,97,0.1,0.1,0.17,0.06,0.12,1,0.2,USD
LYB,LYB:US,98,0.14,0.08,0.05,0.06,0.18,1,0.04,USD
M,M:US,11,0.02,0.18,0.14,0.19,0.07,1,0.03,USD
MA,MA:US,34,0.13,0.05,0.07,0.16,0.03,1,0.13,USD
MAR,MAR:US,20,0.14,0.06,0.07,0.02,0.19,1,0.18,USD
MAS,MAS:US,25,0.08,0.16,0.18,0.19,0.15,1,0.14,USD
MAT,MAT:US,94,0.05,0.03,0.11,0.12,0.16,1,0.08,USD
MCD,MCD:US,98,0.16,0.1,0.01,0.01,0.04,1,0.01,USD
MCHP,MCHP:US,46,0.05,0.2,0.11,0.1,0.01,1,0.02,USD
MCK,MCK:US,34,0.06,0.07,0.03,0.08,0.13,1,0.04,USD
MCO,MCO:US,16,0.19,0.13,0.15,0.16,0.17,1,0.09,USD
MDLZ,MDLZ:US,15,0.04,0.03,0.08,0.1,0.19,1,0.11,USD
MDT,MDT:US,71,0.06,0.2,0.06,0.11,0.01,1,0.04,USD
MET,MET:US,56,0.17,0.19,0.1,0.11,0.15,1,0.2,USD
MHP,MHP:US,91,0.15,0.18,0.07,0.15,0.02,1,0.2,USD
MJN,MJN:US,8,0.17,0.14,0.02,0.03,0.18,1,0.09,USD
MKC,MKC:US,61,0.05,0.05,0.17,0.04,0.09,1,0.05,USD
MMC,MMC:US,37,0.13,0.1,0.03,0.06,0.04,1,0.06,USD
MMM,MMM:US,90,0.01,0.06,0.04,0.15,0.16,1,0.14,USD
MNST,MNST:US,60,0.13,0.12,0.11,0.12,0.15,1,0.13,USD
MO,MO:US,42,0.12,0.11,0.02,0.18,0.13,1,0.14,USD
MOLX,MOLX:US,94,0.12,0.06,0.14,0.13,0.2,1,0.09,USD
MON,MON:US,53,0.02,0.2,0.03,0.05,0.05,1,0.11,USD
MOS,MOS:US,70,0.19,0.04,0.13,0.13,0.02,1,0.12,USD
MPC,MPC:US,95,0.14,0.18,0.09,0.05,0.09,1,0.18,USD
MRK,MRK:US,55,0.2,0.12,0.19,0.2,0.17,1,0.06,USD
MRO,MRO:US,100,0.18,0.19,0.04,0.12,0.1,1,0.05,USD
MS,MS:US,97,0.05,0.19,0.13,0.11,0.08,1,0.07,USD
MSFT,MSFT:US,6,0.1,0.11,0.02,0.03,0.12,1,0.03,USD
MSI,MSI:US,18,0.14,0.13,0.04,0.17,0.06,1,0.12,USD
MTB,MTB:US,92,0.03,0.07,0.06,0.03,0.12,1,0.18,USD
MU,MU:US,83,0.09,0.01,0.09,0.03,0.05,1,0.05,USD
MUR,MUR:US,82,0.06,0.17,0.17,0.08,0.06,1,0.2,USD
MWV,MWV:US,92,0.05,0.06,0.15,0.05,0.15,1,0.12,USD
MYL,MYL:US,96,0.14,0.15,0.08,0.08,0.1,1,0.17,USD
NBL,NBL:US,7,0.02,0.05,0.1,0.12,0.17,1,0.08,USD
NBR,NBR:US,43,0.19,0.15,0.2,0.15,0.16,1,0.05,USD
NDAQ,NDAQ:US,45,0.11,0.14,0.02,0.19,0.14,1,0.18,USD
NE,NE:US,25,0.09,0.18,0.03,0.16,0.19,1,0.18,USD
NEE,NEE:US,72,0.1,0.15,0.03,0.17,0.14,1,0.19,USD
NEM,NEM:US,4,0.07,0.11,0.01,0.1,0.19,1,0.1,USD
NFLX,NFLX:US,83,0.06,0.06,0.07,0.05,0.19,1,0.2,USD
NFX,NFX:US,37,0.1,0.02,0.02,0.19,0.08,1,0.02,USD
NI,NI:US,60,0.04,0.02,0.03,0.11,0.08,1,0.18,USD
NKE,NKE:US,43,0.02,0.02,0.02,0.05,0.07,1,0.13,USD
NOC,NOC:US,31,0.04,0.05,0.19,0.04,0.01,1,0.14,USD
NOV,NOV:US,61,0.15,0.15,0.13,0.07,0.09,1,0.13,USD
NRG,NRG:US,31,0.03,0.09,0.16,0.06,0.08,1,0.18,USD
NSC,NSC:US,98,0.18,0.1,0.17,0.19,0.1,1,0.18,USD
NTAP,NTAP:US,86,0.18,0.07,0.03,0.1,0.18,1,0.18,USD
NTRS,NTRS:US,14,0.01,0.1,0.06,0.2,0.01,1,0.06,USD
NU,NU:US,21,0.13,0.05,0.01,0.09,0.16,1,0.01,USD
NUE,NUE:US,69,0.18,0.13,0.07,0.01,0.01,1,0.16,USD
NVDA,NVDA:US,16,0.08,0.07,0.15,0.2,0.03,1,0.02,USD
NWL,NWL:US,27,0.19,0.18,0.13,0.15,0.12,1,0.04,USD
NWSA,NWSA:US,26,0.01,0.02,0.19,0.2,0.18,1,0.17,USD
NYX,NYX:US,69,0.08,0.08,0.03,0.12,0.18,1,0.02,USD
OI,OI:US,22,0.19,0.1,0.15,0.2,0.07,1,0.18,USD
OKE,OKE:US,45,0.01,0.07,0.2,0.1,0.1,1,0.02,USD
OMC,OMC:US,73,0.07,0.15,0.16,0.11,0.04,1,0.19,USD
